feature_pair,group,fold,rows,positive_rows,negative_rows,false_negative,false_positive,false_negative_rate,false_positive_rate
BPHIGH4 × DIABETE3,1: Yes | 3: Documented value (label omitted),3,25649,3442,22207,1627,3517,0.47269029633933757,0.1583734858377989
BPHIGH4 × DIABETE3,1: Yes | 4: Documented value (label omitted),1,951,168,783,70,154,0.4166666666666667,0.1966794380587484
BPHIGH4 × DIABETE3,1: Yes | 4: Documented value (label omitted),2,941,182,759,77,182,0.4230769230769231,0.23978919631093545
BPHIGH4 × DIABETE3,1: Yes | 4: Documented value (label omitted),3,932,169,763,78,165,0.46153846153846156,0.2162516382699869
BPHIGH4 × DIABETE3,1: Yes | 7: Documented value (label omitted),1,50,13,37,4,9,0.3076923076923077,0.24324324324324326
BPHIGH4 × DIABETE3,1: Yes | 7: Documented value (label omitted),2,61,11,50,5,14,0.45454545454545453,0.28
BPHIGH4 × DIABETE3,1: Yes | 7: Documented value (label omitted),3,58,7,51,2,12,0.2857142857142857,0.23529411764705882
BPHIGH4 × DIABETE3,"2: Yes, but female told only during pregnancy | 1: Yes",1,48,6,42,4,6,0.6666666666666666,0.14285714285714285
BPHIGH4 × DIABETE3,"2: Yes, but female told only during pregnancy | 1: Yes",2,34,3,31,2,2,0.6666666666666666,0.06451612903225806
BPHIGH4 × DIABETE3,"2: Yes, but female told only during pregnancy | 1: Yes",3,43,3,40,1,5,0.3333333333333333,0.125
BPHIGH4 × DIABETE3,"2: Yes, but female told only during pregnancy | 2: Documented value (label omitted)",1,54,2,52,1,1,0.5,0.019230769230769232
BPHIGH4 × DIABETE3,"2: Yes, but female told only during pregnancy | 2: Documented value (label omitted)",2,43,2,41,1,1,0.5,0.024390243902439025
BPHIGH4 × DIABETE3,"2: Yes, but female told only during pregnancy | 2: Documented value (label omitted)",3,54,2,52,1,0,0.5,0.0
BPHIGH4 × DIABETE3,"2: Yes, but female told only during pregnancy | 3: Documented value (label omitted)",1,555,11,544,7,5,0.6363636363636364,0.009191176470588236
BPHIGH4 × DIABETE3,"2: Yes, but female told only during pregnancy | 3: Documented value (label omitted)",2,566,13,553,11,2,0.8461538461538461,0.003616636528028933
BPHIGH4 × DIABETE3,"2: Yes, but female told only during pregnancy | 3: Documented value (label omitted)",3,515,14,501,14,5,1.0,0.00998003992015968
BPHIGH4 × DIABETE3,3: No | 1: Yes,1,2706,361,2345,195,311,0.5401662049861495,0.1326226012793177
BPHIGH4 × DIABETE3,3: No | 1: Yes,2,2838,391,2447,226,329,0.578005115089514,0.13445034736411934
BPHIGH4 × DIABETE3,3: No | 1: Yes,3,2750,379,2371,208,313,0.5488126649076517,0.13201180936313792
BPHIGH4 × DIABETE3,3: No | 2: Documented value (label omitted),1,406,7,399,7,0,1.0,0.0
BPHIGH4 × DIABETE3,3: No | 2: Documented value (label omitted),2,433,8,425,6,3,0.75,0.007058823529411765
BPHIGH4 × DIABETE3,3: No | 2: Documented value (label omitted),3,456,5,451,4,2,0.8,0.004434589800443459
BPHIGH4 × DIABETE3,3: No | 3: Documented value (label omitted),1,46870,1464,45406,1127,754,0.769808743169399,0.016605734924899793
BPHIGH4 × DIABETE3,3: No | 3: Documented value (label omitted),2,46722,1456,45266,1104,835,0.7582417582417582,0.018446516148985993
BPHIGH4 × DIABETE3,3: No | 3: Documented value (label omitted),3,46866,1473,45393,1125,769,0.7637474541751528,0.016940938030092747
BPHIGH4 × DIABETE3,3: No | 4: Documented value (label omitted),1,506,49,457,32,22,0.6530612244897959,0.04814004376367615
BPHIGH4 × DIABETE3,3: No | 4: Documented value (label omitted),2,492,40,452,29,21,0.725,0.046460176991150445
BPHIGH4 × DIABETE3,3: No | 4: Documented value (label omitted),3,525,43,482,28,19,0.6511627906976745,0.03941908713692946
BPHIGH4 × DIABETE3,3: No | 7: Documented value (label omitted),1,41,4,37,4,3,1.0,0.08108108108108109
BPHIGH4 × DIABETE3,3: No | 7: Documented value (label omitted),2,34,2,32,1,2,0.5,0.0625
BPHIGH4 × DIABETE3,3: No | 7: Documented value (label omitted),3,53,6,47,5,3,0.8333333333333334,0.06382978723404255
BPHIGH4 × DIABETE3,4: Told borderline high or pre-hypertensive | 1: Yes,1,69,6,63,3,9,0.5,0.14285714285714285
BPHIGH4 × DIABETE3,4: Told borderline high or pre-hypertensive | 1: Yes,2,65,8,57,4,9,0.5,0.15789473684210525
BPHIGH4 × DIABETE3,4: Told borderline high or pre-hypertensive | 1: Yes,3,67,12,55,6,10,0.5,0.18181818181818182
BPHIGH4 × DIABETE3,4: Told borderline high or pre-hypertensive | 3: Documented value (label omitted),1,748,44,704,40,17,0.9090909090909091,0.024147727272727272
BPHIGH4 × DIABETE3,4: Told borderline high or pre-hypertensive | 3: Documented value (label omitted),2,765,36,729,30,29,0.8333333333333334,0.039780521262002745
BPHIGH4 × DIABETE3,4: Told borderline high or pre-hypertensive | 3: Documented value (label omitted),3,710,43,667,36,16,0.8372093023255814,0.0239880059970015
BPHIGH4 × DIABETE3,4: Told borderline high or pre-hypertensive | 4: Documented value (label omitted),1,65,7,58,6,4,0.8571428571428571,0.06896551724137931
BPHIGH4 × DIABETE3,4: Told borderline high or pre-hypertensive | 4: Documented value (label omitted),2,48,5,43,5,1,1.0,0.023255813953488372
BPHIGH4 × DIABETE3,4: Told borderline high or pre-hypertensive | 4: Documented value (label omitted),3,56,8,48,6,4,0.75,0.08333333333333333
BPHIGH4 × DIABETE3,7: Don't know/Not Sure | 3: Documented value (label omitted),1,141,14,127,9,6,0.6428571428571429,0.047244094488188976
BPHIGH4 × DIABETE3,7: Don't know/Not Sure | 3: Documented value (label omitted),2,152,16,136,8,5,0.5,0.03676470588235294
BPHIGH4 × DIABETE3,7: Don't know/Not Sure | 3: Documented value (label omitted),3,121,21,100,11,8,0.5238095238095238,0.08
BPHIGH4 × DIABETE3,9: Refused | 3: Documented value (label omitted),1,75,4,71,4,3,1.0,0.04225352112676056
BPHIGH4 × DIABETE3,9: Refused | 3: Documented value (label omitted),2,70,0,70,0,2,,0.02857142857142857
BPHIGH4 × DIABETE3,9: Refused | 3: Documented value (label omitted),3,47,0,47,0,1,,0.02127659574468085
_AGE80 × GENHLTH,18-44 | 1: Excellent,1,5525,23,5502,22,0,0.9565217391304348,0.0
_AGE80 × GENHLTH,18-44 | 1: Excellent,2,5275,21,5254,20,0,0.9523809523809523,0.0
_AGE80 × GENHLTH,18-44 | 1: Excellent,3,5409,23,5386,23,0,1.0,0.0
_AGE80 × GENHLTH,18-44 | 2: Very good,1,8442,38,8404,38,1,1.0,0.00011899095668729176
_AGE80 × GENHLTH,18-44 | 2: Very good,2,8509,45,8464,44,0,0.9777777777777777,0.0
_AGE80 × GENHLTH,18-44 | 2: Very good,3,8519,51,8468,51,1,1.0,0.00011809163911195088
_AGE80 × GENHLTH,18-44 | 3: Good,1,7016,104,6912,102,4,0.9807692307692307,0.0005787037037037037
_AGE80 × GENHLTH,18-44 | 3: Good,2,6937,88,6849,87,3,0.9886363636363636,0.0004380201489268506
_AGE80 × GENHLTH,18-44 | 3: Good,3,7094,88,7006,85,5,0.9659090909090909,0.0007136739937196689
_AGE80 × GENHLTH,18-44 | 4: Fair,1,1957,92,1865,85,22,0.9239130434782609,0.011796246648793566
_AGE80 × GENHLTH,18-44 | 4: Fair,2,1968,66,1902,58,36,0.8787878787878788,0.01892744479495268
_AGE80 × GENHLTH,18-44 | 4: Fair,3,2020,81,1939,72,25,0.8888888888888888,0.012893243940175348
_AGE80 × GENHLTH,18-44 | 5: Poor,1,436,46,390,30,31,0.6521739130434783,0.07948717948717948
_AGE80 × GENHLTH,18-44 | 5: Poor,2,460,59,401,40,42,0.6779661016949152,0.10473815461346633
_AGE80 × GENHLTH,18-44 | 5: Poor,3,483,49,434,27,57,0.5510204081632653,0.1313364055299539
_AGE80 × GENHLTH,45-54 | 1: Excellent,1,2816,26,2790,25,0,0.9615384615384616,0.0
_AGE80 × GENHLTH,45-54 | 1: Excellent,2,2632,32,2600,30,1,0.9375,0.0003846153846153846
_AGE80 × GENHLTH,45-54 | 1: Excellent,3,2549,20,2529,20,0,1.0,0.0
_AGE80 × GENHLTH,45-54 | 2: Very good,1,4751,100,4651,94,9,0.94,0.0019350677273704579
_AGE80 × GENHLTH,45-54 | 2: Very good,2,4945,90,4855,83,3,0.9222222222222223,0.0006179196704428424
_AGE80 × GENHLTH,45-54 | 2: Very good,3,4683,82,4601,78,3,0.9512195121951219,0.0006520321669202348
_AGE80 × GENHLTH,45-54 | 3: Good,1,4188,175,4013,160,46,0.9142857142857143,0.01146274607525542
_AGE80 × GENHLTH,45-54 | 3: Good,2,4273,188,4085,166,34,0.8829787234042553,0.00832313341493268
_AGE80 × GENHLTH,45-54 | 3: Good,3,4271,168,4103,147,41,0.875,0.009992688276870583
_AGE80 × GENHLTH,45-54 | 4: Fair,1,1796,224,1572,149,138,0.6651785714285714,0.08778625954198473
_AGE80 × GENHLTH,45-54 | 4: Fair,2,1797,194,1603,136,160,0.7010309278350515,0.09981285090455397
_AGE80 × GENHLTH,45-54 | 4: Fair,3,1773,207,1566,134,147,0.6473429951690821,0.09386973180076628
_AGE80 × GENHLTH,45-54 | 5: Poor,1,711,161,550,44,156,0.2732919254658385,0.28363636363636363
_AGE80 × GENHLTH,45-54 | 5: Poor,2,771,187,584,49,210,0.2620320855614973,0.3595890410958904
_AGE80 × GENHLTH,45-54 | 5: Poor,3,788,176,612,64,212,0.36363636363636365,0.3464052287581699
_AGE80 × GENHLTH,55-64 | 1: Excellent,1,3155,48,3107,48,1,1.0,0.000321853878339234
_AGE80 × GENHLTH,55-64 | 1: Excellent,2,3221,63,3158,60,4,0.9523809523809523,0.001266624445851805
_AGE80 × GENHLTH,55-64 | 1: Excellent,3,3138,55,3083,55,2,1.0,0.0006487187804086928
