feature_pair,group,fold,rows,positive_rows,negative_rows,false_negative,false_positive,false_negative_rate,false_positive_rate
BPHIGH4 × DIABETE3,3: No | 7: Documented value (label omitted),3,53,6,47,5,5,0.8333333333333334,0.10638297872340426
BPHIGH4 × DIABETE3,4: Told borderline high or pre-hypertensive | 1: Yes,1,69,6,63,1,15,0.16666666666666666,0.23809523809523808
BPHIGH4 × DIABETE3,4: Told borderline high or pre-hypertensive | 1: Yes,2,65,8,57,6,10,0.75,0.17543859649122806
BPHIGH4 × DIABETE3,4: Told borderline high or pre-hypertensive | 1: Yes,3,67,12,55,4,9,0.3333333333333333,0.16363636363636364
BPHIGH4 × DIABETE3,4: Told borderline high or pre-hypertensive | 3: Documented value (label omitted),1,748,44,704,30,20,0.6818181818181818,0.028409090909090908
BPHIGH4 × DIABETE3,4: Told borderline high or pre-hypertensive | 3: Documented value (label omitted),2,765,36,729,28,31,0.7777777777777778,0.04252400548696845
BPHIGH4 × DIABETE3,4: Told borderline high or pre-hypertensive | 3: Documented value (label omitted),3,710,43,667,32,29,0.7441860465116279,0.043478260869565216
BPHIGH4 × DIABETE3,4: Told borderline high or pre-hypertensive | 4: Documented value (label omitted),1,65,7,58,4,7,0.5714285714285714,0.1206896551724138
BPHIGH4 × DIABETE3,4: Told borderline high or pre-hypertensive | 4: Documented value (label omitted),2,48,5,43,5,1,1.0,0.023255813953488372
BPHIGH4 × DIABETE3,4: Told borderline high or pre-hypertensive | 4: Documented value (label omitted),3,56,8,48,5,6,0.625,0.125
BPHIGH4 × DIABETE3,7: Don't know/Not Sure | 3: Documented value (label omitted),1,141,14,127,8,8,0.5714285714285714,0.06299212598425197
BPHIGH4 × DIABETE3,7: Don't know/Not Sure | 3: Documented value (label omitted),2,152,16,136,9,6,0.5625,0.04411764705882353
BPHIGH4 × DIABETE3,7: Don't know/Not Sure | 3: Documented value (label omitted),3,121,21,100,5,8,0.23809523809523808,0.08
BPHIGH4 × DIABETE3,9: Refused | 3: Documented value (label omitted),1,75,4,71,3,2,0.75,0.028169014084507043
BPHIGH4 × DIABETE3,9: Refused | 3: Documented value (label omitted),2,70,0,70,0,2,,0.02857142857142857
BPHIGH4 × DIABETE3,9: Refused | 3: Documented value (label omitted),3,47,0,47,0,2,,0.0425531914893617
_AGE80 × GENHLTH,18-44 | 1: Excellent,1,5525,23,5502,20,0,0.8695652173913043,0.0
_AGE80 × GENHLTH,18-44 | 1: Excellent,2,5275,21,5254,19,0,0.9047619047619048,0.0
_AGE80 × GENHLTH,18-44 | 1: Excellent,3,5409,23,5386,23,1,1.0,0.0001856665428889714
