feature,group,rows,positive_rows,negative_rows,boosting_false_negatives,logistic_false_negatives,boosting_false_positives,logistic_false_positives,both_false_negatives,both_false_positives,boosting_only_false_negatives,boosting_only_false_positives,boosting_far_false_negatives,boosting_far_false_positives,boosting_false_negative_rate,logistic_false_negative_rate,boosting_false_positive_rate,logistic_false_positive_rate
_AGE80 × GENHLTH,45-54 | 1: Excellent,7997,78,7919,67,75,1,1,66,0,1,1,63,0,0.8589743589743589,0.9615384615384616,0.00012627857052658164,0.00012627857052658164
_AGE80 × GENHLTH,45-54 | 2: Very good,14379,272,14107,247,255,11,15,245,7,2,4,233,2,0.9080882352941176,0.9375,0.0007797547316934855,0.001063301906854753
_AGE80 × GENHLTH,45-54 | 3: Good,12732,531,12201,464,473,129,121,451,78,13,51,356,42,0.8738229755178908,0.8907721280602636,0.010572903860339317,0.009917219900008196
_AGE80 × GENHLTH,45-54 | 4: Fair,5366,625,4741,370,419,573,445,351,362,19,211,194,199,0.592,0.6704,0.12086057793714407,0.09386205441889897
_AGE80 × GENHLTH,45-54 | 5: Poor,2270,524,1746,137,157,581,578,119,476,18,105,44,299,0.26145038167938933,0.29961832061068705,0.33276059564719357,0.33104238258877433
_AGE80 × GENHLTH,55-64 | 1: Excellent,9514,166,9348,157,163,5,7,157,3,0,2,146,2,0.9457831325301205,0.9819277108433735,0.0005348737697903295,0.0007488232777064613
_AGE80 × GENHLTH,55-64 | 2: Very good,19059,640,18419,597,599,48,69,585,32,12,16,491,7,0.9328125,0.9359375,0.0026060046690916986,0.003746131711819317
_AGE80 × GENHLTH,55-64 | 3: Good,17688,1434,16254,1094,1089,679,793,1014,512,80,167,660,152,0.7629009762900977,0.7594142259414226,0.04177433247200689,0.048787990648455765
_AGE80 × GENHLTH,55-64 | 4: Fair,8548,1606,6942,620,679,1908,1820,552,1496,68,412,204,827,0.386052303860523,0.4227895392278954,0.2748487467588591,0.26217228464419473
_AGE80 × GENHLTH,55-64 | 5: Poor,3847,1143,2704,204,176,1356,1541,147,1272,57,84,52,790,0.1784776902887139,0.15398075240594924,0.5014792899408284,0.569896449704142
_AGE80 × GENHLTH,65+ | 1: Excellent,11744,608,11136,520,548,146,121,511,79,9,67,358,22,0.8552631578947368,0.9013157894736842,0.013110632183908046,0.01086566091954023
_AGE80 × GENHLTH,65+ | 2: Very good,27670,2611,25059,1931,2008,1661,1581,1827,1127,104,534,975,289,0.7395633856759862,0.7690540022979702,0.06628357077297578,0.06309110499221836
_AGE80 × GENHLTH,65+ | 3: Good,30069,5286,24783,2317,2508,5842,5864,2044,4603,273,1239,766,2293,0.43832765796443435,0.47446083995459704,0.2357261025703103,0.23661380785215672
_AGE80 × GENHLTH,65+ | 4: Fair,14817,4192,10625,763,859,5814,5848,609,5102,154,712,113,2971,0.18201335877862596,0.2049141221374046,0.5472,0.5504
_AGE80 × GENHLTH,65+ | 5: Poor,6047,2488,3559,149,121,2670,2873,88,2562,61,108,24,1785,0.05988745980707395,0.04863344051446945,0.7502107333520652,0.8072492273110424
_AGE80 × GENHLTH,65+ | 7: Don’t know/Not Sure,240,50,190,11,23,68,24,11,24,0,44,6,32,0.22,0.46,0.35789473684210527,0.12631578947368421
